,item, price ,url
207,Ridgid Rapid Max battery charger, $45.00 ,https://toronto.craigslist.org/drh/tls/d/ridgid-rapid-max-battery-charger/6796096183.html
208,Weller Universal 140/100 Watt Solder Gun, $30.00 ,https://toronto.craigslist.org/drh/tls/d/weller-universalwatt-solder-gun/6796092573.html
209,Nail puller, $30.00 ,https://toronto.craigslist.org/drh/tls/d/oshawa-nail-puller/6796091913.html
210,turbo torch, $85.00 ,https://toronto.craigslist.org/drh/tls/d/oshawa-turbo-torch/6796092035.html
211,Porter-Cable - Laminate Trimmer w/ Standard Base -7301, $65.00 ,https://toronto.craigslist.org/drh/tls/d/porter-cable-laminate-trimmer-standard/6796092190.html
212,ENFORCER Air Cuff Lock bran new, $45.00 ,https://toronto.craigslist.org/drh/tls/d/enforcer-air-cuff-lock-bran-new/6796092306.html
213,car  flash light tool case $ 15, $15.00 ,https://toronto.craigslist.org/tor/tls/d/car-flash-light-tool-case-15/6796066950.html
214,Hilti GX2  concrete pins, $600.00 ,https://toronto.craigslist.org/tor/tls/d/toronto-hilti-gx2-concrete-pins/6796015897.html
215,Edge Bender," $9,500.00 ",https://toronto.craigslist.org/tor/tls/d/north-york-edge-bender/6796014788.html
216,1/4 oxy acetylene torch hose, $10.00 ,https://toronto.craigslist.org/tor/tls/d/1-4-oxy-acetylene-torch-hose/6777892044.html
217,washer, $20.00 ,https://toronto.craigslist.org/tor/tls/d/north-york-washer/6795822198.html
218,nuts, $20.00 ,https://toronto.craigslist.org/tor/tls/d/north-york-nuts/6795728161.html
219,bolts, $20.00 ,https://toronto.craigslist.org/tor/tls/d/north-york-bolts/6795725980.html
220,wrenches $ 20, $20.00 ,https://toronto.craigslist.org/tor/tls/d/wrenches-20/6795720538.html
221,"Heat Press 16 X 20"" w/ Teflon-coated Heat Element new!", $429.00 ,https://toronto.craigslist.org/tor/tls/d/scarborough-heat-pressteflon-coated/6795551923.html
222,CRAFTSMAN CORDLESS DRILL DRIVER 2 BATTERIES FLASHLIGHT CHARGER CASE MA, $40.00 ,https://toronto.craigslist.org/yrk/tls/d/markham-craftsman-cordless-drill-driver/6775247925.html
223,VINTAGE STANLEY 12-204 WOOD SMOOTH PLANE NO 4 SIZE, $60.00 ,https://toronto.craigslist.org/mss/tls/d/mississauga-vintage-stanleywood-smooth/6795330709.html
224,Parklands® Deluxe Security Guard Belt, $35.00 ,https://toronto.craigslist.org/mss/tls/d/mississauga-parklands-deluxe-security/6795331000.html
225,New Graco Airless Paintmaster spray painter for oil or latex w how-to, $125.00 ,https://toronto.craigslist.org/yrk/tls/d/north-york-new-graco-airless/6795223195.html
226,18V brushless Drill/Impact with 2 batteries and charger, $200.00 ,https://toronto.craigslist.org/tor/tls/d/mississauga-18v-brushless-drill-impact/6794979879.html
227,drill bits $ 10.00, $10.00 ,https://toronto.craigslist.org/tor/tls/d/drill-bits-1000/6794968981.html
228,"PEX Crimp Tool 3/4""", $50.00 ,https://toronto.craigslist.org/tor/tls/d/etobicoke-pex-crimp-tool-3-4/6794969164.html
229,160 LB 5 GL. MADE IN ITALY COMPRESSOR $ 150 O.B.O, $150.00 ,https://toronto.craigslist.org/tor/tls/d/160-lb-5-gl-made-in-italy-compressor/6794970372.html
230,Temperature Infrared Thermometer, $50.00 ,https://toronto.craigslist.org/tor/tls/d/etobicoke-temperature-infrared/6794964713.html
231,"DIES 1"" to 2""", $100.00 ,https://toronto.craigslist.org/tor/tls/d/etobicoke-dies-1-to-2/6794949415.html
232,"79pc.r,toolset $70 /  multimeter $15 / 22pc.toolset $20", $70.00 ,https://toronto.craigslist.org/tor/tls/d/79pcrtoolset-70-multimeter-15/6794910610.html
233,Set of 4 Brand new Slings and clevises, $150.00 ,https://toronto.craigslist.org/tor/tls/d/north-york-set-of-4-brand-new-slings/6794868048.html
234,Chain hoist, $75.00 ,https://toronto.craigslist.org/tor/tls/d/north-york-chain-hoist/6794868469.html
235,Heavy duty truck stand, $225.00 ,https://toronto.craigslist.org/tor/tls/d/north-york-heavy-duty-truck-stand/6794869207.html
236,"BRAND NEW 14"" AIR TIRE", $15.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-brand-new-14-air-tire/6794577848.html
237,ROTARY TOOL KIT W/FLEX SHAFT 40PC, $40.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-rotary-tool-kit-flex-shaft/6794578156.html
238,Saw Guide Protractor, $20.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-saw-guide-protractor/6794577338.html
239,Brand New Post Driver, $40.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-brand-new-post-driver/6794578404.html
240,Hilti Kwik Bolt II 44pcs Item # 00229232, $60.00 ,https://toronto.craigslist.org/tor/tls/d/toronto-hilti-kwik-bolt-ii-44pcs-item/6774609939.html
241,Warwood Sledge Hammer Head, $15.00 ,https://toronto.craigslist.org/tor/tls/d/toronto-warwood-sledge-hammer-head/6775228987.html
242,Concrete Steel Pick Axes, $40.00 ,https://toronto.craigslist.org/tor/tls/d/toronto-concrete-steel-pick-axes/6775231240.html
243,Steel Wire Brush, $5.00 ,https://toronto.craigslist.org/tor/tls/d/toronto-steel-wire-brush/6775231612.html
244,Vintage strong & sturdy wood tool box !, $25.00 ,https://toronto.craigslist.org/tor/tls/d/east-york-vintage-strong-sturdy-wood/6774199699.html
245,Vintage 11-inch Green Metal Toolbox with Handle, $10.00 ,https://toronto.craigslist.org/yrk/tls/d/north-york-vintage-11-inch-green-metal/6794363048.html
246,Kitchen tools - New, $5.00 ,https://toronto.craigslist.org/drh/hsh/d/whitby-kitchen-tools-new/6790540932.html
247,16oz Hammer, $6.00 ,https://toronto.craigslist.org/tor/tls/d/toronto-16oz-hammer/6794328238.html
248,Terra Tool Bag - Brand NEW, $25.00 ,https://toronto.craigslist.org/tor/tls/d/toronto-terra-tool-bag-brand-new/6794105753.html
249,Paslode Cordless 16 GA Straight Finish Nailer, $250.00 ,https://toronto.craigslist.org/tor/tls/d/toronto-paslode-cordless-16-ga-straight/6793829796.html
250,Sturdy workbench for sale, $300.00 ,https://toronto.craigslist.org/tor/tls/d/toronto-sturdy-workbench-for-sale/6793649654.html
251,Kids Toolbox and Tools, $5.00 ,https://toronto.craigslist.org/drh/bab/d/pickering-kids-toolbox-and-tools/6793590832.html
252,Table Saw - Saw Blade Holder, $10.00 ,https://toronto.craigslist.org/drh/tls/d/pickering-table-saw-saw-blade-holder/6793559154.html
253,Snapon Snap-on 16 pc Die Grinder + Accessories - BRAND NEW, $280.00 ,https://toronto.craigslist.org/drh/tls/d/pickering-snapon-snap-on-16-pc-die/6793553923.html
254,Sanding Disks Sandpaper - 8 inch - 120 Grit - 50pcs (8), $20.00 ,https://toronto.craigslist.org/drh/tls/d/pickering-sanding-disks-sandpaper-8/6793517571.html
255,Sanding Disks Sandpaper - 12 inch - 240 Grit - 100pcs (7), $40.00 ,https://toronto.craigslist.org/drh/tls/d/pickering-sanding-disks-sandpaper-12/6793516413.html
256,Sanding Disks Sandpaper - 12 inch - 120 Grit - 50pcs (6), $20.00 ,https://toronto.craigslist.org/drh/tls/d/pickering-sanding-disks-sandpaper-12/6793510984.html
257,Sanding Disks Sandpaper - 12 inch - 320 Grit - 100pcs (4), $20.00 ,https://toronto.craigslist.org/drh/tls/d/pickering-sanding-disks-sandpaper-12/6793509362.html
258,Sanding Disks Sandpaper - 12 inch - 120 Grit - 50pcs (5), $20.00 ,https://toronto.craigslist.org/drh/tls/d/pickering-sanding-disks-sandpaper-12/6793510185.html
259,Sanding Disks Sandpaper - 12 inch - 120 Grit - 100pcs (2), $40.00 ,https://toronto.craigslist.org/drh/tls/d/pickering-sanding-disks-sandpaper-12/6793507380.html
260,Sanding Disks Sandpaper - 12 inch - 120 Grit - 50pcs (3), $20.00 ,https://toronto.craigslist.org/drh/tls/d/pickering-sanding-disks-sandpaper-12/6793508473.html
261,Abrasive Cutoff Wheels - 9 inch - Qty 10 (1), $50.00 ,https://toronto.craigslist.org/drh/tls/d/pickering-abrasive-cutoff-wheels-9-inch/6793501641.html
262,"10"" Bench Saw", $100.00 ,https://toronto.craigslist.org/tor/tls/d/north-york-10-bench-saw/6793471994.html
263,Assorted Flashlights - NINE in TOTAL, $20.00 ,https://toronto.craigslist.org/drh/tls/d/pickering-assorted-flashlights-nine-in/6793429290.html
264,Mastercraft Circular Saw for sale - 14A, $40.00 ,https://toronto.craigslist.org/tor/tls/d/mastercraft-circular-saw-for-sale-14a/6793400744.html
265,Carlisle CC Burner - flameworking torch, $900.00 ,https://toronto.craigslist.org/tor/tls/d/toronto-carlisle-cc-burner-flameworking/6793395865.html
266,"ROPE 1/2""x 100'", $15.00 ,https://toronto.craigslist.org/drh/tls/d/scarborough-rope-1-2x-100/6774163573.html
267,Brand New Propane Torch w/2 Extra Nozzle, $40.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-brand-new-propane-torch-2/6793201786.html
268,Brand New Palm Nailer, $40.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-brand-new-palm-nailer/6793201406.html
269,Snow Blower, $400.00 ,https://toronto.craigslist.org/tor/tls/d/scarborough-snow-blower/6793099235.html
270,Milwaukee M18-M12 Charger, $50.00 ,https://toronto.craigslist.org/tor/tls/d/thornhill-milwaukee-m18-m12-charger/6793077943.html
271,Gas SnowBlower, $65.00 ,https://toronto.craigslist.org/tor/tls/d/north-york-gas-snowblower/6778749398.html
272,Stanley and Mastercraft Laser Line Levels, $40.00 ,https://toronto.craigslist.org/tor/tls/d/stanley-and-mastercraft-laser-line/6773164827.html
273,Mastercraft Toolbox 58-0825-2 with dual hinged top, $40.00 ,https://toronto.craigslist.org/tor/tls/d/mastercraft-toolboxwith-dual-hinged-top/6773146149.html
274,drill, $25.00 ,https://toronto.craigslist.org/tor/tls/d/north-york-drill/6792647165.html
275,Stud Sensor HD25 stud finder, $15.00 ,https://toronto.craigslist.org/mss/tls/d/mississauga-stud-sensor-hd25-stud-finder/6792333216.html
276,BRAND NEW 20V LITHIUM-ION SDS+ CORDLESS ROTARY HAMMER DRILL, $80.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-brand-new-20v-lithium-ion/6792315135.html
277,30 PC COMBINATION HEX KEY, $12.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-30-pc-combination-hex-key/6792314587.html
278,OSCILLATING MULTIFUNCTION DREMEL/BOSCH/MULTIMASTER FIT 13 pc BLADE KIT, $89.00 ,https://toronto.craigslist.org/tor/tls/d/oscillating-multifunction-dremel-bosch/6792095809.html
279,OSCILLATING MULTITOOL PORTER CABLE. BLACK & DECKER. STANLEY BLADE KIT, $49.00 ,https://toronto.craigslist.org/tor/tls/d/oscillating-multitool-porter-cable/6792096419.html
280,ROCKWELL SONICRAFTER/RIDGID/RYOBI OSCILLATING MULTI-TOOL BLADES, $89.00 ,https://toronto.craigslist.org/tor/tls/d/rockwell-sonicrafter-ridgid-ryobi/6792097394.html
281,"OSCILLATING BLADES MULTI FUNCTION ROCKWELL, RYOBI & RIDGID COMPATIBLE", $30.00 ,https://toronto.craigslist.org/tor/tls/d/oscillating-blades-multi-function/6791967543.html
282,MULTI FUNCTION (FEIN SUPERCUT COMPATIBLE) OSCILLATING BLADES, $30.00 ,https://toronto.craigslist.org/tor/tls/d/multi-function-fein-supercut-compatible/6791968703.html
283,OSCILLATING BLADES MULTI FUNCTION (FEIN MULTIMASTER COMPATIBLE), $30.00 ,https://toronto.craigslist.org/tor/tls/d/oscillating-blades-multi-function-fein/6791969553.html
284,10 GALLON 6.5 HP GAS WHEELBARROW AIR COMPRESSOR, $800.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-10-gallon-65-hp-gas/6791494884.html
285,BRAND NEW MANIFOLD GAUGE SET, $40.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-brand-new-manifold-gauge-set/6791493780.html
286,Brand New Portable Industrial Fan Blower, $90.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-brand-new-portable/6791494388.html
287,6 Step Step Bit 1/4 shank, $10.00 ,https://toronto.craigslist.org/tor/tld/d/north-york-6-step-step-bit-1-4-shank/6791494638.html
